Date,City,Temperature
2024-01-07,Pune,13.0
2024-01-08,Pune,15.89
2024-01-09,Pune,19.0
2024-01-10,Pune,11.71
2024-01-11,Pune,-5.04
2024-01-12,Pune,26.75
2024-01-13,Pune,5.21
2024-01-14,Pune,0.63
2024-01-15,Pune,27.58
2024-01-16,Pune,25.87
2024-01-17,Pune,16.68
2024-01-18,Pune,22.4
2024-01-19,Pune,7.16
2024-01-20,Pune,26.8
2024-01-21,Pune,13.89
2024-01-22,Pune,25.34
2024-01-23,Pune,16.49
2024-01-24,Pune,27.36
2024-01-25,Pune,10.1
2024-01-26,Pune,2.67
2024-01-27,Pune,27.07
2024-01-28,Pune,-4.42
2024-01-29,Pune,5.24
2024-01-30,Pune,28.89
2024-01-31,Pune,-6.92
2024-02-01,Pune,19.33
2024-02-02,Pune,7.99
2024-02-03,Pune,3.28
2024-02-04,Pune,-5.55
2024-02-05,Pune,6.46
2024-02-06,Pune,8.43
2024-02-07,Pune,29.76
2024-02-08,Pune,12.57
2024-02-09,Pune,26.33
2024-02-10,Pune,3.75
2024-02-11,Pune,-0.11
2024-02-12,Pune,0.68
2024-02-13,Pune,6.91
2024-02-14,Pune,22.66
2024-02-15,Pune,-1.44
2024-02-16,Pune,28.55
2024-02-17,Pune,-7.68
2024-02-18,Pune,-0.82
2024-02-19,Pune,10.82
2024-02-20,Pune,28.93
2024-02-21,Pune,1.93
2024-02-22,Pune,18.72
2024-02-23,Pune,29.39
2024-02-24,Pune,22.27
2024-02-25,Pune,19.87
2024-02-26,Pune,13.0
2024-02-27,Pune,18.31
2024-02-28,Pune,-0.02
2024-02-29,Pune,-0.42
2024-03-01,Pune,0.36
2024-03-02,Pune,11.71
2024-03-03,Pune,20.44
2024-03-04,Pune,11.62
2024-03-05,Pune,26.61
2024-03-06,Pune,6.62
2024-03-07,Pune,9.52
2024-03-08,Pune,-4.27
2024-03-09,Pune,12.37
2024-03-10,Pune,25.92
2024-03-11,Pune,7.45
2024-03-12,Pune,-6.38
2024-03-13,Pune,7.63
2024-03-14,Pune,27.37
2024-03-15,Pune,17.77
2024-03-16,Pune,-2.05
2024-03-17,Pune,-1.13
2024-03-18,Pune,2.93
2024-03-19,Pune,10.06
2024-03-20,Pune,17.46
2024-03-21,Pune,1.7
2024-03-22,Pune,-6.9
2024-03-23,Pune,20.48
2024-03-24,Pune,11.58
2024-03-25,Pune,22.74
2024-03-26,Pune,29.64
2024-03-27,Pune,15.17
2024-03-28,Pune,-0.96
2024-03-29,Pune,1.34
2024-03-30,Pune,20.27
2024-03-31,Pune,-5.21
2024-04-01,Pune,-7.63
2024-04-02,Pune,30.5
2024-04-03,Pune,20.42
2024-04-04,Pune,15.33
2024-04-05,Pune,15.33
2024-04-06,Pune,28.28
2024-04-07,Pune,8.79
2024-04-08,Pune,31.23
2024-04-09,Pune,2.48
